,timestamp,coffees,contributor,sines
0,2011-10-03 08:22:00,397.0,Quentin,
1,2011-10-04 11:48:00,410.0,Quentin,0.916533604797894
4,2011-10-05 10:47:00,464.0,Quentin,
5,2011-10-05 13:15:00,481.0,Quentin,-0.816725212907666
6,2011-10-06 07:21:00,503.0,Anthony,-0.33001928131531005
7,2011-10-06 10:04:00,513.0,Quentin,0.33836176080013775
8,2011-10-06 12:14:00,539.0,Mike,-0.7958423494121123
9,2011-10-06 12:49:00,540.0,Quentin,-0.9765778977502884
10,2011-10-06 14:52:00,563.0,Ben,-0.34659290437655327
11,2011-10-07 07:34:00,581.0,Anthony,-0.6090918379453792
12,2011-10-07 08:37:00,587.0,Quentin,0.19341424210376837
13,2011-10-07 11:09:00,605.0,Quentin,0.4598499553568124
14,2011-10-07 13:14:00,616.0,Mike,0.9705207546642247
16,2011-10-07 15:20:00,626.0,Mike M,
17,2011-10-07 16:50:00,635.0,Mike M,-0.7332313164778873
18,2011-10-09 16:53:00,650.0,Colm,0.38783720589663306
19,2011-10-10 07:29:00,656.0,Anthony,0.3047532008014393
20,2011-10-10 10:13:00,673.0,Quentin,0.5587390498188232
21,2011-10-10 13:41:00,694.0,Mike M,0.6435842780107317
22,2011-10-10 14:02:00,699.0,Quentin,0.2878455800903205
23,2011-10-10 15:23:00,713.0,Quentin,0.999990471552965
24,2011-10-11 14:09:00,770.0,Mike M,0.14106032243614638
25,2011-10-12 08:11:00,790.0,Quentin,-0.30486804029509035
26,2011-10-12 09:57:00,799.0,Mike M,-0.9938953072212839
27,2011-10-12 10:06:00,805.0,Sergio,0.8601001621636173
28,2011-10-12 12:01:00,818.0,Mike M,0.6833057347140384
29,2011-10-12 12:30:00,819.0,Quentin,0.926841142721418
30,2011-10-12 13:56:00,837.0,Quentin,0.8167078184368716
31,2011-10-13 09:10:00,866.0,Quentin,0.9726440741045344
32,2011-10-13 10:52:00,880.0,Quentin,-0.8817561819054704
33,2011-10-13 11:04:00,889.0,Mike M,0.3467060053575308
34,2011-10-13 14:41:00,916.0,Quentin,0.07066202936351883
35,2011-10-13 15:06:00,920.0,Mike M,-0.9746284105303279
36,2011-10-13 15:45:00,923.0,Ben,0.46766522966301216
37,2011-10-13 15:58:00,924.0,Quentin,-0.5877218435224411
38,2011-10-14 09:02:00,933.0,Quentin,0.3632556223924401
39,2011-10-14 10:02:00,939.0,Mike M,0.05299328137309047
40,2011-10-14 14:07:00,974.0,Ben,0.3299054569501611
41,2011-10-17 09:24:00,1011.0,Mike,0.10607743500999182
42,2011-10-17 11:19:00,1036.0,Mike M,-0.558714049540841
43,2011-10-17 14:05:00,1050.0,Colm,-0.66356623236788
44,2011-10-18 09:20:00,1065.0,Quentin,0.6503565384006261
45,2011-10-18 09:39:00,1070.0,Mike M,-9.043305996889882e-05
46,2011-10-18 11:32:00,1091.0,Quentin,0.9588986183026018
47,2011-10-18 12:54:00,1095.0,Mike M,-0.7626169502553196
48,2011-10-19 09:15:00,1133.0,Quentin,0.9880176706221142
49,2011-10-19 09:31:00,1136.0,Mike M,0.8978878735372546
50,2011-10-19 14:08:00,1179.0,Quentin,-0.9510267034945383
51,2011-10-19 15:11:00,1193.0,Mike M,-0.7850364106161789
52,2011-10-20 13:01:00,1247.0,Mike M,-0.7209750468639425
53,2011-10-20 15:59:00,1267.0,Mike M,0.21069266371123146
54,2011-10-21 10:39:00,1286.0,Mike M,-0.8064718807401303
55,2011-10-21 13:15:00,1297.0,Quentin,-0.8859807373049136
56,2011-10-21 15:09:00,1310.0,Quentin,0.45979641835260393
57,2011-10-24 09:51:00,1346.0,Quentin,0.04412221841808424
58,2011-10-24 10:15:00,1350.0,Quentin,0.985166958539643
59,2011-10-24 10:21:00,1352.0,Mike M,-0.7738143119409093
60,2011-10-24 14:32:00,1389.0,Mike M,0.89798074546892
